Charge equilibration on step 10
  iteration: 76, enegtot 4.56287, enegmax 0.610785, fq deviation: 0.0511761
  iteration: 77, enegtot 4.56518, enegmax 0.649426, fq deviation: 0.0537759
  iteration: 78, enegtot 4.56773, enegmax 0.690727, fq deviation: 0.0565406
  iteration: 79, enegtot 4.57055, enegmax 0.734961, fq deviation: 0.0595608
  iteration: 80, enegtot 4.57365, enegmax 0.782422, fq deviation: 0.0628544
  iteration: 81, enegtot 4.57708, enegmax 0.83341, fq deviation: 0.0663199
  iteration: 82, enegtot 4.58086, enegmax 0.888208, fq deviation: 0.069952
  iteration: 83, enegtot 4.58502, enegmax 0.94707, fq deviation: 0.0737561
  iteration: 84, enegtot 4.5896, enegmax 1.01018, fq deviation: 0.0777562
  iteration: 85, enegtot 4.59464, enegmax 1.07764, fq deviation: 0.0819654
  iteration: 86, enegtot 4.60018, enegmax 1.14935, fq deviation: 0.0864042
  iteration: 87, enegtot 4.60626, enegmax 1.22493, fq deviation: 0.091077
  iteration: 88, enegtot 4.61291, enegmax 1.30349, fq deviation: 0.0959758
  iteration: 89, enegtot 4.62017, enegmax 1.38322, fq deviation: 0.101076
  iteration: 90, enegtot 4.62806, enegmax 1.46072, fq deviation: 0.106311
  iteration: 91, enegtot 4.63656, enegmax 1.52978, fq deviation: 0.111583
  iteration: 92, enegtot 4.6456, enegmax 1.57941, fq deviation: 0.116978
  iteration: 93, enegtot 4.65504, enegmax 1.59073, fq deviation: 0.122094
  iteration: 94, enegtot 4.66457, enegmax 1.53257, fq deviation: 0.126395
  iteration: 95, enegtot 4.67369, enegmax 1.35571, fq deviation: 0.129194
  iteration: 96, enegtot 4.68162, enegmax 1.2753, fq deviation: 0.130036
  iteration: 97, enegtot 4.68734, enegmax 1.3545, fq deviation: 0.128457
  iteration: 98, enegtot 4.69007, enegmax 1.4396, fq deviation: 0.134908
  iteration: 99, enegtot 4.69017, enegmax 1.79984, fq deviation: 0.148574
Charges did not converge in 100 iterations
Charge equilibration on step 10
  iteration: 0, enegtot 4.69014, enegmax 1.80005, fq deviation: 0.148813
  iteration: 1, enegtot 4.69383, enegmax 1.56741, fq deviation: 0.141681
  iteration: 2, enegtot 4.69992, enegmax 1.60737, fq deviation: 0.140031
  iteration: 3, enegtot 4.70709, enegmax 1.62131, fq deviation: 0.13954
  iteration: 4, enegtot 4.71445, enegmax 1.58056, fq deviation: 0.138569
  iteration: 5, enegtot 4.72156, enegmax 1.4676, fq deviation: 0.143805
  iteration: 6, enegtot 4.72821, enegmax 1.27396, fq deviation: 0.151932
  iteration: 7, enegtot 4.7342, enegmax 0.992555, fq deviation: 0.161609
  iteration: 8, enegtot 4.73935, enegmax 0.944604, fq deviation: 0.165253
  iteration: 9, enegtot 4.74355, enegmax 1.07227, fq deviation: 0.162623
  iteration: 10, enegtot 4.74699, enegmax 1.22846, fq deviation: 0.165688
  iteration: 11, enegtot 4.75046, enegmax 1.38376, fq deviation: 0.176831
  iteration: 12, enegtot 4.75546, enegmax 1.58934, fq deviation: 0.187645
  iteration: 13, enegtot 4.76364, enegmax 1.83893, fq deviation: 0.19809
  iteration: 14, enegtot 4.77584, enegmax 1.7496, fq deviation: 0.209801
  iteration: 15, enegtot 4.79135, enegmax 1.79969, fq deviation: 0.21771
  iteration: 16, enegtot 4.80838, enegmax 1.82421, fq deviation: 0.222025
  iteration: 17, enegtot 4.82485, enegmax 1.78889, fq deviation: 0.227566
  iteration: 18, enegtot 4.83886, enegmax 1.80083, fq deviation: 0.232752
  iteration: 19, enegtot 4.84849, enegmax 1.8176, fq deviation: 0.238152
  iteration: 20, enegtot 4.85157, enegmax 1.81996, fq deviation: 0.234022
  iteration: 21, enegtot 4.84583, enegmax 1.75187, fq deviation: 0.240703
  iteration: 22, enegtot 4.8301, enegmax 1.66511, fq deviation: 0.252377
  iteration: 23, enegtot 4.80606, enegmax 2.75083, fq deviation: 0.271984
